target,dataset,model,n_samples,n_features,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
2-clases,bow,logreg,19,7054,0.95,0.09999999999999999,0.9466666666666667,0.10666666666666665
2-clases,forms,logreg,19,30,0.8333333333333334,0.13944333775567927,0.8266666666666668,0.1436043948569201
2-clases,bow,svc,19,7054,0.85,0.2,0.8133333333333332,0.2612789058968723
2-clases,forms,svc,19,30,0.7833333333333333,0.19436506316151003,0.6933333333333334,0.28472208672083493
3-clases,bow,logreg,19,7054,0.9,0.1224744871391589,0.8755555555555556,0.16245037228886283
3-clases,bow,svc,19,7054,0.85,0.1224744871391589,0.8666666666666666,0.1088662107903635
3-clases,forms,svc,19,30,0.8833333333333334,0.1452966314513558,0.8222222222222222,0.217732421580727
3-clases,forms,logreg,19,30,0.6333333333333333,0.1130388330520878,0.5288888888888887,0.1694726752438899
4-clases,forms,svc,19,30,0.6833333333333333,0.1855921454276674,0.611111111111111,0.22222222222222224
4-clases,bow,svc,19,7054,0.65,0.25495097567963926,0.5833333333333333,0.26874192494328497
4-clases,forms,logreg,19,30,0.5666666666666667,0.16158932858054434,0.5166666666666667,0.13333333333333333
4-clases,bow,logreg,19,7054,0.5833333333333333,0.24720661623652207,0.4916666666666666,0.26666666666666666
